num;Mean_mse;Mean_mae;Mean_mape;Mean_aof;Median_aof;Variance;sequence;model;hour;last;tr1;tr2;gauss_noise;sin_noise;train_percent;layer_size;reg1;reg2;epochs;batch_sizes;sqrp;time_delta;epochs_1;trans_size
1663411376153394658;13.549568687136887;85.81198803032342;370.9310162811823;117.85623092651367;116.44677734375;20.290413230884006;IS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.005;[100];[8];1;1;[0];0
4044178517248189260;46.04958678418499;884.8991729059353;1089.0286225842144;117.58364868164062;124.15915298461914;258.0984872084111;IM;RNN;0;2;0;0;10;0;0.7;30;0;0.005;[100];[8];1;1;[0];0
2880978889031540477;45.088871477713205;695.7176656034486;998.7526713787249;37.20711498260498;33.701008796691895;505.4627286727833;DS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.005;[100];[8];1;1;[0];0
3595725319542935490;10.518283722115282;539.0560808633616;1261.9124234782307;47.43585052490234;44.661577224731445;458.940867708915;DS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.01;[100];[8];1;1;[0];0
1553252097778059879;48.86345704775775;112.2741794258005;357.88405356954814;114.57128295898437;114.07529830932617;8.344342475975864;IS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.01;[100];[8];1;1;[0];0
6917807069276346507;1.9584805700453096;133.91421070622368;333.84771593490984;79.90000343322754;81.0803451538086;204.26459744811655;IM;RNN;0;2;0;0;2;0;0.7;30;0;0.01;[100];[8];1;1;[0];0
6828756549178478157;12.183950844268024;23.822299634401197;284.81363489587005;118.67222518920899;115.8501968383789;42.26792205852048;IS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.01;[100];[8];1;1;[0];0
4788652977394573272;46.98418690877852;837.4312415403016;1130.6084439400552;119.89893646240235;120.89917755126953;117.95311734787188;IM;RNN;0;2;0;0;10;0;0.7;30;0;0.01;[100];[8];1;1;[0];0
8867407077749166282;43.54490650314953;455.3436526056903;1254.409039632809;39.33584299087524;43.45489311218262;787.2050557950654;DS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.01;[100];[8];1;1;[0];0
7071338768818674060;10.525524624001251;272.84998335388883;253.6674581368383;43.91406936645508;51.89754676818848;730.1834545453023;DS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.05;[100];[8];1;1;[0];0
8033182311195982931;48.92076260336676;85.49361787465584;473.6192586024342;108.32644348144531;111.04911041259766;128.70926741397938;IS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.05;[100];[8];1;1;[0];0
5286501121897915635;3.0071960616837754;135.33508308133545;315.77687510987835;98.69540939331054;97.7688102722168;30.72415702381462;IM;RNN;0;2;0;0;2;0;0.7;30;0;0.05;[100];[8];1;1;[0];0
5178666379545731705;11.968736168011834;53.3163343264316;258.0775796446325;115.8690788269043;115.27511215209961;11.089344087364733;IS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.05;[100];[8];1;1;[0];0
5428978259262978610;48.93342191287441;864.0861655105646;1197.6719887599536;121.46473236083985;122.79023742675781;51.79773851315491;IM;RNN;0;2;0;0;10;0;0.7;30;0;0.05;[100];[8];1;1;[0];0
249582031837900335;41.48486566278952;382.3596904179643;344.56235927926997;72.88486156463622;88.83943176269531;866.3239868162391;DS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.05;[100];[8];1;1;[0];0
2146736980314117670;9.99220218832048;265.6605377122544;418.51618273787864;67.71742782592773;74.27447128295898;507.7236092777724;DS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.1;[100];[8];1;1;[0];0
2183653569847145136;51.10031327237247;151.4190971545194;438.2316221197733;103.66535568237305;104.80659484863281;210.02863001537335;IS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.1;[100];[8];1;1;[0];0
887823070366574488;2.539930884941616;297.68348419985085;1052.2543838005877;94.37301635742188;96.55289077758789;86.69511812293203;IM;RNN;0;2;0;0;2;0;0.7;30;0;0.1;[100];[8];1;1;[0];0
9066788682860068143;12.26932228207502;128.82078066030752;318.5367893805119;107.2866310119629;110.24431228637695;40.55662125372386;IS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.1;[100];[8];1;1;[0];0
8281690111935403916;47.51886351852243;585.3871580152233;1192.0816282896456;117.92074127197266;121.560546875;101.0741992576304;IM;RNN;0;2;0;0;10;0;0.7;30;0;0.1;[100];[8];1;1;[0];0
2940537002012919293;40.718786400450135;245.35624993793505;315.2221778485435;92.3727798461914;92.56338882446289;94.35033676170278;DS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.1;[100];[8];1;1;[0];0
593657771527787094;10.204363734528608;695.6430654308527;456.1673614161429;75.5573369026184;85.7443733215332;824.1395190555033;DS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.005;[125];[8];1;1;[0];0
132467180283084680;49.91103197015534;223.21736169035572;523.9367776035817;116.33837432861328;114.14920043945312;29.18273678863421;IS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.005;[125];[8];1;1;[0];0
3815697132053181500;1.9071168580877491;141.84451906254495;445.64506829169943;93.59823226928711;97.13513565063477;107.82317312590604;IM;RNN;0;2;0;0;2;0;0.7;30;0;0.005;[125];[8];1;1;[0];0
1196746080627135024;12.42020360617604;49.654343769981054;269.61435361532705;120.08559188842773;116.02206802368164;95.6291551285429;IS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.005;[125];[8];1;1;[0];0
137129061424325541;50.814594503166475;1095.2087781084133;1078.9274257982693;120.28453140258789;126.66912841796875;359.93477659320286;IM;RNN;0;2;0;0;10;0;0.7;30;0;0.005;[125];[8];1;1;[0];0
5267084577689590972;43.92794269152297;486.64431442811946;1259.3932438879647;75.08324241638184;77.0564193725586;740.4277496685543;DS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.005;[125];[8];1;1;[0];0
8479115972059935022;10.11887418806182;602.049876345947;400.36351111897676;73.01505851745605;74.1957893371582;680.3244447048935;DS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.01;[125];[8];1;1;[0];0
8780224990778224879;51.871861385585056;98.79267080740014;351.6692165661078;115.5793441772461;114.19666290283203;103.00586422753754;IS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.01;[125];[8];1;1;[0];0
